,height,link,weight
315,6-0,/players/H/HousWa21.htm,217lb
316,5-9,/players/H/HughDi20.htm,185lb
317,6-2,/players/K/KercDi20.htm,205lb
318,6-4,/players/K/KlotJa20.htm,260lb
319,6-4,/players/K/KnafGa00.htm,217lb
320,6-2,/players/K/KnutGe20.htm,218lb
321,6-4,/players/L/LaddJi20.htm,205lb
322,6-0,/players/L/LandLo20.htm,195lb
323,5-11,/players/L/LarsPa00.htm,185lb
324,6-1,/players/L/LattJo00.htm,195lb
325,6-1,/players/L/LebeBo20.htm,180lb
326,6-1,/players/L/LuskBo20.htm,222lb
327,6-1,/players/M/MannDa20.htm,190lb
328,6-1,/players/M/MarcRo20.htm,218lb
329,6-3,/players/M/McGeMa00.htm,205lb
330,6-1,/players/M/McHaLa00.htm,201lb
331,6-2,/players/M/MeadEd20.htm,221lb
332,6-2,/players/M/MillDo21.htm,195lb
333,6-3,/players/M/MineTo20.htm,235lb
334,6-0,/players/M/MiscBo00.htm,237lb
335,6-2,/players/M/MitcGe20.htm,206lb
336,6-2,/players/M/MorlSa20.htm,182lb
337,6-2,/players/N/NaglGe00.htm,190lb
338,6-1,/players/N/NolaDi20.htm,185lb
339,6-1,/players/N/NollCh20.htm,220lb
340,6-2,/players/O/OBriJa21.htm,213lb
341,6-5,/players/O/OwenDo20.htm,255lb
342,6-2,/players/P/PaluSa20.htm,226lb
343,6-3,/players/P/PoweCh20.htm,226lb
344,6-6,/players/P/PutmEa20.htm,308lb
345,6-3,/players/Q/QuinBi20.htm,248lb
346,5-11,/players/R/RenfDe20.htm,180lb
347,6-5,/players/R/RenfWi20.htm,233lb
348,6-1,/players/R/RileLe20.htm,192lb
349,6-2,/players/R/RomiAl20.htm,191lb
350,6-2,/players/R/RozzAu20.htm,215lb
351,6-1,/players/R/RyanRo20.htm,202lb
352,6-1,/players/S/SageFl20.htm,191lb
353,6-1,/players/S/SalsJi20.htm,233lb
354,6-1,/players/S/SandAl20.htm,235lb
355,6-2,/players/S/SardTo20.htm,226lb
356,6-1,/players/S/SchmJo00.htm,220lb
357,6-2,/players/S/SchrJi00.htm,244lb
358,6-1,/players/S/SherSt20.htm,224lb
359,6-0,/players/S/ShivRe20.htm,190lb
360,6-0,/players/S/SmitCa00.htm,200lb
361,6-1,/players/S/SmitJ.00.htm,205lb
362,6-3,/players/S/SmitJi02.htm,241lb
363,6-3,/players/S/SteiDo20.htm,220lb
364,5-11,/players/S/SwitVe20.htm,190lb
365,6-3,/players/S/SzymDi00.htm,233lb
366,6-1,/players/T/TimbGe20.htm,220lb
367,6-2,/players/T/ToppBo20.htm,180lb
368,6-1,/players/V/VarrFr00.htm,234lb
369,6-0,/players/V/VaugTe20.htm,208lb
370,6-4,/players/W/WardDu20.htm,215lb
371,6-3,/players/W/WarlEr00.htm,235lb
372,5-10,/players/W/WatkBo20.htm,198lb
373,5-11,/players/W/WatsSi20.htm,187lb
374,5-11,/players/W/WegeTe00.htm,202lb
375,6-2,/players/W/WhitGe21.htm,205lb
376,6-2,/players/W/WillFr21.htm,215lb
377,6-0,/players/W/WilsTo00.htm,203lb
378,5-11,/players/Y/YewcTo00.htm,185lb
379,6-1,/players/Z/ZombJo20.htm,195lb
380,6-2,/players/A/AlleJo20.htm,224lb
381,6-0,/players/A/AlliBu20.htm,218lb
382,6-0,/players/A/AmecAl00.htm,218lb
383,6-0,/players/A/AndeCh20.htm,230lb
384,6-3,/players/A/AutrBi20.htm,220lb
385,6-3,/players/B/BarbJo20.htm,250lb
386,6-3,/players/B/BernEd00.htm,203lb
387,5-9,/players/B/BernFr20.htm,181lb
388,6-2,/players/B/BerrRa00.htm,187lb
389,6-2,/players/B/BettTo20.htm,228lb
390,6-2,/players/B/BoslBr00.htm,241lb
391,6-1,/players/B/BraaTo20.htm,216lb
392,6-5,/players/B/BracM.20.htm,248lb
393,6-3,/players/B/BrouFr20.htm,235lb
394,6-1,/players/B/BryaWa20.htm,185lb
395,6-3,/players/C/CampMi20.htm,217lb
396,6-0,/players/C/CaroJ.00.htm,185lb
397,6-1,/players/C/CarrJi20.htm,206lb
398,5-11,/players/C/CastJe20.htm,180lb
399,6-3,/players/C/ChelDo20.htm,235lb
400,6-0,/players/C/ChilJo00.htm,202lb
401,6-4,/players/C/ClarLe00.htm,232lb
402,6-2,/players/C/ClemBo20.htm,200lb
403,6-0,/players/C/CoheAb20.htm,230lb
